0,748
1,603
2,222
3,83.9
4,21.0
5,10.5
6,10.5
7,10.5
8,10.5
9,0.00
10,31.5
11,136
12,419
13,398
14,357
15,377
16,388
17,398
18,398
19,357
20,377
21,346
22,197
23,223
24,262
25,325
26,357
27,357
28,388
29,336
30,398
31,388
32,304
33,252
34,294
35,336
36,367
37,388
38,409
39,325
40,388
41,409
42,331
43,245
44,294
45,336
46,388
47,388
48,388
49,336
50,346
51,357
52,356
53,241
54,294
55,357
56,396
57,359
58,388
59,354
60,370
61,398
62,409
63,199
64,262
65,322
66,360
67,367
68,377
69,315
70,378
71,409
72,398
73,304
74,262
75,325
76,357
77,409
78,409
79,367
80,388
81,367
82,409
83,430
84,419
85,430
86,440
87,377
88,409
