Connecting to host 10.1.4.1, port 2345
[ 44] local 10.1.1.1 port 43762 connected to 10.1.4.1 port 2345
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[ 44]   0.00-1.00   sec  89.2 MBytes   748 Mbits/sec    0   1.33 MBytes       
[ 44]   1.00-2.01   sec  72.5 MBytes   603 Mbits/sec    0   1.46 MBytes       
[ 44]   2.01-3.00   sec  26.2 MBytes   222 Mbits/sec    0    515 KBytes       
[ 44]   3.00-4.00   sec  10.0 MBytes  83.9 Mbits/sec    0    133 KBytes       
[ 44]   4.00-5.00   sec  2.50 MBytes  21.0 Mbits/sec    0   42.4 KBytes       
[ 44]   5.00-6.00   sec  1.25 MBytes  10.5 Mbits/sec    0   33.9 KBytes       
[ 44]   6.00-7.00   sec  1.25 MBytes  10.5 Mbits/sec    0   31.1 KBytes       
[ 44]   7.00-8.00   sec  1.25 MBytes  10.5 Mbits/sec    0   31.1 KBytes       
[ 44]   8.00-9.00   sec  1.25 MBytes  10.5 Mbits/sec    0   33.9 KBytes       
[ 44]   9.00-10.00  sec  0.00 Bytes  0.00 Mbits/sec    0   33.9 KBytes       
[ 44]  10.00-11.00  sec  3.75 MBytes  31.5 Mbits/sec    0    523 KBytes       
[ 44]  11.00-12.00  sec  16.2 MBytes   136 Mbits/sec    0   1.37 MBytes       
[ 44]  12.00-13.00  sec  50.0 MBytes   419 Mbits/sec    0    967 KBytes       
[ 44]  13.00-14.00  sec  47.5 MBytes   398 Mbits/sec    0    877 KBytes       
[ 44]  14.00-15.00  sec  42.5 MBytes   357 Mbits/sec    0    959 KBytes       
[ 44]  15.00-16.00  sec  45.0 MBytes   377 Mbits/sec    0    840 KBytes       
[ 44]  16.00-17.00  sec  46.2 MBytes   388 Mbits/sec    0    829 KBytes       
[ 44]  17.00-18.00  sec  47.5 MBytes   398 Mbits/sec    0    843 KBytes       
[ 44]  18.00-19.00  sec  47.5 MBytes   398 Mbits/sec    0    874 KBytes       
[ 44]  19.00-20.00  sec  42.5 MBytes   357 Mbits/sec    0    865 KBytes       
[ 44]  20.00-21.00  sec  45.0 MBytes   377 Mbits/sec    0    814 KBytes       
[ 44]  21.00-22.00  sec  41.2 MBytes   346 Mbits/sec    0    843 KBytes       
[ 44]  22.00-23.01  sec  23.8 MBytes   197 Mbits/sec    0    520 KBytes       
[ 44]  23.01-24.00  sec  26.2 MBytes   223 Mbits/sec    0    665 KBytes       
[ 44]  24.00-25.00  sec  31.2 MBytes   262 Mbits/sec    0    676 KBytes       
