0,463.3
1,725.6
2,280.4
3,92.6
4,29.5
5,10.4
6,9.2
7,9.0
8,8.5
9,9.4
10,15.2
11,101.9
12,369.9
13,389.9
14,396.1
15,348.3
16,371.6
17,394.2
18,399.2
19,400.9
20,345.6
21,324.8
22,228.7
23,197.6
24,285.4
25,266.5
26,269.5
27,370.6
28,366.6
29,372.6
30,340.4
31,394.6
32,338.7
33,263.4
34,299.5
35,303.6
36,274.2
37,385.9
38,405.0
39,392.1
40,323.7
41,277.8
42,403.5
43,202.1
44,318.0
45,316.0
46,350.2
47,392.5
48,392.6
49,370.0
50,321.7
51,345.0
52,247.2
53,236.1
54,308.6
55,314.9
56,393.6
57,385.1
58,310.3
59,384.7
60,331.4
61,394.6
62,404.0
63,246.6
64,272.4
65,281.5
66,300.5
67,330.1
68,374.7
69,340.9
70,235.1
71,289.3
72,296.1
73,251.3
74,274.2
75,297.3
76,340.3
77,390.5
78,338.3
79,404.6
80,355.4
81,385.3
82,278.4
83,323.7
84,482.2
85,402.4
86,428.0
87,414.4
88,384.6
89,389.5
