Connecting to host 10.1.5.1, port 2347
[ 45] local 10.1.2.3 port 52092 connected to 10.1.5.1 port 2347
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[ 45]  65.00-66.00  sec  16.2 MBytes   136 Mbits/sec    0   1.32 GBytes       
[ 45]  66.00-67.00  sec  18.8 MBytes   157 Mbits/sec    0   1.51 GBytes       
[ 45]  67.00-68.00  sec  12.5 MBytes   105 Mbits/sec    0   -1855489840.00 Bytes       
[ 45]  68.00-69.00  sec  18.8 MBytes   157 Mbits/sec    0   1.65 GBytes       
[ 45]  69.00-70.00  sec  18.8 MBytes   157 Mbits/sec    0   1.80 GBytes       
[ 45]  70.00-71.00  sec  18.8 MBytes   157 Mbits/sec    0   1.64 GBytes       
[ 45]  71.00-72.00  sec  18.8 MBytes   157 Mbits/sec    0   -2145605328.00 Bytes       
[ 45]  72.00-73.00  sec  16.2 MBytes   136 Mbits/sec    0   -1597826928.00 Bytes       
[ 45]  73.00-74.00  sec  15.0 MBytes   126 Mbits/sec    0   -1940087792.00 Bytes       
[ 45]  74.00-75.01  sec  17.5 MBytes   145 Mbits/sec    0   -1565565488.00 Bytes       
[ 45]  75.01-76.00  sec  12.5 MBytes   106 Mbits/sec    0   -871970592.00 Bytes       
[ 45]  76.00-77.00  sec  21.2 MBytes   179 Mbits/sec    0   -1965419104.00 Bytes       
[ 45]  77.00-78.00  sec  18.8 MBytes   157 Mbits/sec    0   -1426719664.00 Bytes       
[ 45]  78.00-79.00  sec  18.8 MBytes   157 Mbits/sec    0   -1433904640.00 Bytes       
[ 45]  79.00-80.02  sec  16.2 MBytes   134 Mbits/sec    0   -1574282448.00 Bytes       
[ 45]  80.02-81.00  sec  17.5 MBytes   149 Mbits/sec    0   -808435248.00 Bytes       
[ 45]  81.00-82.00  sec  17.5 MBytes   147 Mbits/sec    0   -574635376.00 Bytes       
[ 45]  82.00-83.00  sec  18.8 MBytes   157 Mbits/sec    0   -149294064.00 Bytes       
[ 45]  83.00-84.00  sec  18.8 MBytes   157 Mbits/sec    0   -660403312.00 Bytes       
[ 45]  84.00-85.00  sec  17.5 MBytes   147 Mbits/sec    0   -480306864.00 Bytes       
[ 45]  85.00-86.00  sec  15.0 MBytes   126 Mbits/sec    0    412 MBytes       
[ 45]  86.00-87.00  sec  27.5 MBytes   231 Mbits/sec    0   -1927994096.00 Bytes       
[ 45]  87.00-88.00  sec  27.5 MBytes   231 Mbits/sec    0   -1733458192.00 Bytes       
[ 45]  88.00-89.00  sec  13.8 MBytes   115 Mbits/sec    0   -1943629600.00 Bytes       
[ 45]  89.00-90.00  sec  28.8 MBytes   241 Mbits/sec    0   -1935306496.00 Bytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bandwidth       Retr
[ 45]   0.00-90.00  sec  1.79 GBytes   170 Mbits/sec  850             sender
[ 45]   0.00-90.00  sec  1.78 GBytes   170 Mbits/sec                  receiver

iperf Done.
