Connecting to host 10.1.5.1, port 2347
[ 45] local 10.1.2.3 port 39300 connected to 10.1.5.1 port 2347
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[ 45]   0.00-1.00   sec   830 KBytes  6.80 Mbits/sec    0   5.66 KBytes       
[ 45]   1.00-2.00   sec   764 KBytes  6.26 Mbits/sec    0   19.8 KBytes       
[ 45]   2.00-3.00   sec  2.49 MBytes  20.8 Mbits/sec    0    320 KBytes       
[ 45]   3.00-4.00   sec  2.98 MBytes  25.0 Mbits/sec    0    546 KBytes       
[ 45]   4.00-5.00   sec  3.74 MBytes  31.4 Mbits/sec    0    798 KBytes       
[ 45]   5.00-6.00   sec  3.75 MBytes  31.5 Mbits/sec    0    902 KBytes       
[ 45]   6.00-7.00   sec  6.25 MBytes  52.4 Mbits/sec    0   1.36 MBytes       
[ 45]   7.00-8.00   sec  6.25 MBytes  52.4 Mbits/sec    0   1.55 MBytes       
[ 45]   8.00-9.00   sec  6.25 MBytes  52.4 Mbits/sec    0   1.77 MBytes       
[ 45]   9.00-10.00  sec  6.25 MBytes  52.4 Mbits/sec    0   2.34 MBytes       
[ 45]  10.00-11.00  sec  8.75 MBytes  73.4 Mbits/sec    0   3.27 MBytes       
[ 45]  11.00-12.00  sec  8.75 MBytes  73.4 Mbits/sec    0   3.49 MBytes       
[ 45]  12.00-13.00  sec  8.75 MBytes  73.4 Mbits/sec    0   6.79 MBytes       
[ 45]  13.00-14.00  sec  12.5 MBytes   105 Mbits/sec    0   5.52 MBytes       
[ 45]  14.00-15.01  sec  12.5 MBytes   104 Mbits/sec    0   6.66 MBytes       
[ 45]  15.01-16.00  sec  16.2 MBytes   137 Mbits/sec    0   8.55 MBytes       
[ 45]  16.00-17.00  sec  12.5 MBytes   105 Mbits/sec   79   10.8 MBytes       
[ 45]  17.00-18.00  sec  17.5 MBytes   147 Mbits/sec  132   8.88 MBytes       
[ 45]  18.00-19.00  sec  8.75 MBytes  73.4 Mbits/sec  489   11.4 MBytes       
[ 45]  19.00-20.00  sec  20.0 MBytes   168 Mbits/sec    0   11.6 MBytes       
[ 45]  20.00-21.00  sec  16.2 MBytes   136 Mbits/sec  370   8.20 MBytes       
[ 45]  21.00-22.00  sec  11.2 MBytes  94.3 Mbits/sec  236   13.5 MBytes       
[ 45]  22.00-23.00  sec  18.8 MBytes   157 Mbits/sec   30   11.8 MBytes       
[ 45]  23.00-24.00  sec  17.5 MBytes   147 Mbits/sec  510   4.49 MBytes       
[ 45]  24.00-25.00  sec  13.8 MBytes   115 Mbits/sec    0   17.4 MBytes       
[ 45]  25.00-26.00  sec  15.0 MBytes   126 Mbits/sec  645   11.2 MBytes       
[ 45]  26.00-27.00  sec  23.8 MBytes   199 Mbits/sec    0   3.59 MBytes       
[ 45]  27.00-28.00  sec  21.2 MBytes   178 Mbits/sec    0   10.7 MBytes       
