Connecting to host 10.1.5.1, port 2346
[ 45] local 10.1.2.2 port 41682 connected to 10.1.5.1 port 2346
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[ 45]   0.00-1.00   sec   660 KBytes  5.41 Mbits/sec    0   5.66 KBytes       
[ 45]   1.00-2.00   sec   764 KBytes  6.25 Mbits/sec    0   8.48 KBytes       
[ 45]   2.00-3.00   sec  2.86 MBytes  24.0 Mbits/sec    0    297 KBytes       
[ 45]   3.00-4.00   sec  4.23 MBytes  35.5 Mbits/sec    0    979 KBytes       
[ 45]   4.00-5.00   sec  3.75 MBytes  31.5 Mbits/sec    0   1.13 MBytes       
[ 45]   5.00-6.00   sec  3.75 MBytes  31.5 Mbits/sec    0    888 KBytes       
[ 45]   6.00-7.00   sec  3.75 MBytes  31.5 Mbits/sec    0   1.11 MBytes       
[ 45]   7.00-8.00   sec  5.00 MBytes  41.9 Mbits/sec    0   1.35 MBytes       
[ 45]   8.00-9.00   sec  8.75 MBytes  73.4 Mbits/sec    0   1.74 MBytes       
[ 45]   9.00-10.00  sec  6.25 MBytes  52.4 Mbits/sec    0   2.02 MBytes       
[ 45]  10.00-11.00  sec  7.50 MBytes  62.9 Mbits/sec    0   2.73 MBytes       
[ 45]  11.00-12.00  sec  8.75 MBytes  73.4 Mbits/sec    0   3.55 MBytes       
[ 45]  12.00-13.00  sec  8.75 MBytes  73.4 Mbits/sec    0   8.30 MBytes       
[ 45]  13.00-14.00  sec  10.0 MBytes  83.8 Mbits/sec    0   9.40 MBytes       
[ 45]  14.00-15.00  sec  12.5 MBytes   105 Mbits/sec    0   6.50 MBytes       
[ 45]  15.00-16.00  sec  12.5 MBytes   105 Mbits/sec    0   11.0 MBytes       
[ 45]  16.00-17.00  sec  15.0 MBytes   126 Mbits/sec    0   11.0 MBytes       
[ 45]  17.00-18.00  sec  15.0 MBytes   126 Mbits/sec  149   6.74 MBytes       
[ 45]  18.00-19.00  sec  12.5 MBytes   105 Mbits/sec    0   11.9 MBytes       
[ 45]  19.00-20.00  sec  15.0 MBytes   126 Mbits/sec  387   10.1 MBytes       
[ 45]  20.00-21.00  sec  12.5 MBytes   105 Mbits/sec  462   14.6 MBytes       
