0,5.03
1,6.12
2,20.0
3,42.3
4,21.0
5,42.0
6,62.9
7,73.4
8,52.4
9,62.9
10,62.9
11,62.9
12,115
13,220
14,220
15,178
16,262
17,210
18,189
19,178
20,273
21,220
22,157
23,273
24,199
25,178
26,252
27,199
28,220
29,189
30,210
31,189
32,241
33,231
34,241
35,220
36,220
37,231
38,231
39,199
40,231
41,231
42,209
43,231
44,241
45,241
46,241
47,231
48,210
49,231
50,231
51,231
52,231
53,231
54,210
55,241
56,231
57,220
58,241
59,199
60,220
61,231
62,241
63,231
64,241
65,231
66,220
67,231
68,241
69,210
70,241
71,231
72,210
73,241
74,241
75,241
76,241
77,231
78,220
79,178
80,241
81,220
82,231
83,231
84,220
85,231
86,231
87,231
88,147
