Connecting to host 10.1.5.1, port 2345
[ 45] local 10.1.2.1 port 34248 connected to 10.1.5.1 port 2345
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[ 45]   0.00-1.00   sec   631 KBytes  5.15 Mbits/sec    0   5.66 KBytes       
[ 45]   1.00-2.00   sec   636 KBytes  5.22 Mbits/sec    0   8.48 KBytes       
[ 45]   2.00-3.00   sec  2.30 MBytes  19.3 Mbits/sec    0   56.6 KBytes       
[ 45]   3.00-4.00   sec  33.0 MBytes   276 Mbits/sec    0   15.3 MBytes       
[ 45]   4.00-5.00   sec  26.2 MBytes   221 Mbits/sec    0   29.6 MBytes       
[ 45]   5.00-6.00   sec  27.5 MBytes   231 Mbits/sec    0   33.5 MBytes       
[ 45]   6.00-7.00   sec  26.2 MBytes   220 Mbits/sec    0   37.4 MBytes       
[ 45]   7.00-8.00   sec  22.5 MBytes   189 Mbits/sec    0   39.4 MBytes       
[ 45]   8.00-9.00   sec  27.5 MBytes   231 Mbits/sec    0   40.8 MBytes       
[ 45]   9.00-10.00  sec  27.5 MBytes   231 Mbits/sec    0   43.5 MBytes       
[ 45]  10.00-11.00  sec  26.2 MBytes   220 Mbits/sec    0   47.7 MBytes       
[ 45]  11.00-12.00  sec  26.2 MBytes   220 Mbits/sec    0   52.7 MBytes       
[ 45]  12.00-13.01  sec  26.2 MBytes   218 Mbits/sec    0   63.9 MBytes       
[ 45]  13.01-14.00  sec  27.5 MBytes   233 Mbits/sec    0   60.9 MBytes       
[ 45]  14.00-15.00  sec  26.2 MBytes   220 Mbits/sec    0   65.3 MBytes       
[ 45]  15.00-16.00  sec  26.2 MBytes   220 Mbits/sec    0   69.3 MBytes       
[ 45]  16.00-17.00  sec  27.5 MBytes   231 Mbits/sec    0   80.7 MBytes       
[ 45]  17.00-18.00  sec  27.5 MBytes   231 Mbits/sec    0   87.1 MBytes       
[ 45]  18.00-19.00  sec  26.2 MBytes   220 Mbits/sec    0    101 MBytes       
[ 45]  19.00-20.00  sec  26.2 MBytes   220 Mbits/sec    0    103 MBytes       
[ 45]  20.00-21.00  sec  23.8 MBytes   199 Mbits/sec    0    103 MBytes       
[ 45]  21.00-22.00  sec  27.5 MBytes   231 Mbits/sec    0    115 MBytes       
[ 45]  22.00-23.00  sec  27.5 MBytes   231 Mbits/sec    0    143 MBytes       
[ 45]  23.00-24.00  sec  27.5 MBytes   231 Mbits/sec    0    132 MBytes       
[ 45]  24.00-25.00  sec  26.2 MBytes   219 Mbits/sec    0    164 MBytes       
[ 45]  25.00-26.00  sec  27.5 MBytes   231 Mbits/sec    0    167 MBytes       
[ 45]  26.00-27.00  sec  22.5 MBytes   189 Mbits/sec    0    187 MBytes       
[ 45]  27.00-28.00  sec  28.8 MBytes   241 Mbits/sec    0    181 MBytes       
[ 45]  28.00-29.00  sec  27.5 MBytes   231 Mbits/sec    0    211 MBytes       
[ 45]  29.00-30.00  sec  26.2 MBytes   220 Mbits/sec    0    238 MBytes       
[ 45]  30.00-31.00  sec  22.5 MBytes   189 Mbits/sec    0    245 MBytes       
[ 45]  31.00-32.00  sec  22.5 MBytes   188 Mbits/sec    0    277 MBytes       
[ 45]  32.00-33.00  sec  26.2 MBytes   221 Mbits/sec    0    292 MBytes       
[ 45]  33.00-34.00  sec  28.8 MBytes   241 Mbits/sec    0    300 MBytes       
[ 45]  34.00-35.00  sec  27.5 MBytes   231 Mbits/sec    0    330 MBytes       
[ 45]  35.00-36.00  sec  27.5 MBytes   231 Mbits/sec    0    361 MBytes       
[ 45]  36.00-37.00  sec  26.2 MBytes   220 Mbits/sec    0    407 MBytes       
[ 45]  37.00-38.00  sec  26.2 MBytes   220 Mbits/sec    0    392 MBytes       
[ 45]  38.00-39.00  sec  26.2 MBytes   220 Mbits/sec    0    438 MBytes       
[ 45]  39.00-40.00  sec  27.5 MBytes   231 Mbits/sec    0    515 MBytes       
[ 45]  40.00-41.00  sec  23.8 MBytes   199 Mbits/sec    0    505 MBytes       
[ 45]  41.00-42.00  sec  27.5 MBytes   231 Mbits/sec    0    576 MBytes       
[ 45]  42.00-43.01  sec  26.2 MBytes   218 Mbits/sec    0    709 MBytes       
[ 45]  43.01-44.00  sec  27.5 MBytes   233 Mbits/sec    0    656 MBytes       
[ 45]  44.00-45.00  sec  28.8 MBytes   241 Mbits/sec    0    714 MBytes       
[ 45]  45.00-46.00  sec  27.5 MBytes   231 Mbits/sec    0    846 MBytes       
[ 45]  46.00-47.00  sec  27.5 MBytes   231 Mbits/sec    0    892 MBytes       
