0,128
1,126
2,136
3,62.9
4,105
5,115
6,105
7,73.4
8,220
9,210
10,178
11,94.3
12,73.3
13,31.2
14,138
15,210
16,220
17,168
18,73.4
19,73.4
20,105
21,199
22,210
23,199
24,220
25,210
26,210
27,83.8
28,62.9
29,73.3
30,158
31,210
32,199
33,115
34,105
35,105
36,94.4
37,93.0
38,170
39,189
40,210
41,156
42,73.8
43,189
44,199
45,199
46,199
47,189
48,210
49,210
50,210
51,199
52,199
53,168
54,199
55,178
56,94.4
57,41.9
58,31.5
59,52.4
60,52.5
61,31.5
62,125
63,117
64,147
65,105
66,73.4
67,62.9
68,94.4
69,147
70,147
71,147
72,147
73,126
74,157
75,137
76,157
77,147
78,157
79,168
80,157
81,147
82,157
83,156
84,159
85,157
86,155
87,138
88,31.2
