Connecting to host 10.1.5.1, port 2345
[ 45] local 10.1.2.1 port 56990 connected to 10.1.5.1 port 2345
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[ 45]  65.00-66.00  sec  15.0 MBytes   126 Mbits/sec    0    641 KBytes       
[ 45]  66.00-67.00  sec  11.2 MBytes  94.4 Mbits/sec    0    665 KBytes       
[ 45]  67.00-68.00  sec  10.0 MBytes  83.9 Mbits/sec    0    686 KBytes       
[ 45]  68.00-69.00  sec  12.5 MBytes   105 Mbits/sec    0    713 KBytes       
[ 45]  69.00-70.00  sec  20.0 MBytes   168 Mbits/sec    0    751 KBytes       
[ 45]  70.00-71.00  sec  20.0 MBytes   168 Mbits/sec    0    790 KBytes       
[ 45]  71.00-72.00  sec  21.2 MBytes   178 Mbits/sec    0    829 KBytes       
[ 45]  72.00-73.00  sec  20.0 MBytes   168 Mbits/sec    0    863 KBytes       
[ 45]  73.00-74.00  sec  17.5 MBytes   147 Mbits/sec    0    891 KBytes       
[ 45]  74.00-75.00  sec  21.2 MBytes   178 Mbits/sec    0    925 KBytes       
[ 45]  75.00-76.00  sec  18.8 MBytes   157 Mbits/sec    0    954 KBytes       
[ 45]  76.00-77.00  sec  21.2 MBytes   178 Mbits/sec    0    986 KBytes       
[ 45]  77.00-78.00  sec  20.0 MBytes   168 Mbits/sec    0   1015 KBytes       
[ 45]  78.00-79.00  sec  21.2 MBytes   178 Mbits/sec    0   1.02 MBytes       
[ 45]  79.00-80.00  sec  21.2 MBytes   178 Mbits/sec    0   1.05 MBytes       
[ 45]  80.00-81.00  sec  21.2 MBytes   178 Mbits/sec    0   1.08 MBytes       
[ 45]  81.00-82.00  sec  21.2 MBytes   178 Mbits/sec    0   1.10 MBytes       
[ 45]  82.00-83.00  sec  20.0 MBytes   168 Mbits/sec    0   1.13 MBytes       
[ 45]  83.00-84.00  sec  20.0 MBytes   168 Mbits/sec    0   1.15 MBytes       
[ 45]  84.00-85.00  sec  21.2 MBytes   178 Mbits/sec    0   1.18 MBytes       
[ 45]  85.00-86.00  sec  20.0 MBytes   168 Mbits/sec    0   1.20 MBytes       
[ 45]  86.00-87.00  sec  21.2 MBytes   178 Mbits/sec    0   1.22 MBytes       
[ 45]  87.00-88.00  sec  18.8 MBytes   157 Mbits/sec    0   1.25 MBytes       
[ 45]  88.00-89.01  sec  5.00 MBytes  41.8 Mbits/sec    0   1.25 MBytes       
[ 45]  89.01-90.00  sec  8.75 MBytes  73.7 Mbits/sec  289    653 KBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bandwidth       Retr
[ 45]   0.00-90.00  sec  1.22 GBytes   117 Mbits/sec  1541             sender
[ 45]   0.00-90.00  sec  1.21 GBytes   116 Mbits/sec                  receiver

iperf Done.
