Connecting to host 10.1.4.1, port 2345
[ 44] local 10.1.1.1 port 60524 connected to 10.1.4.1 port 2345
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[ 44]   0.00-1.00   sec   607 KBytes  4.97 Mbits/sec    0   5.66 KBytes       
[ 44]   1.00-2.00   sec  1.21 MBytes  10.1 Mbits/sec    0    107 KBytes       
[ 44]   2.00-3.01   sec  1.63 MBytes  13.6 Mbits/sec    0    206 KBytes       
[ 44]   3.01-4.00   sec  19.6 MBytes   165 Mbits/sec    0    662 KBytes       
[ 44]   4.00-5.00   sec  78.8 MBytes   661 Mbits/sec    0   30.4 MBytes       
[ 44]   5.00-6.00   sec  75.0 MBytes   629 Mbits/sec    0   39.2 MBytes       
[ 44]   6.00-7.00   sec  73.8 MBytes   619 Mbits/sec    0   50.1 MBytes       
[ 44]   7.00-8.00   sec  71.2 MBytes   598 Mbits/sec    0   62.2 MBytes       
[ 44]   8.00-9.00   sec  67.5 MBytes   566 Mbits/sec    0   86.7 MBytes       
[ 44]   9.00-10.00  sec  61.2 MBytes   514 Mbits/sec    0    158 MBytes       
[ 44]  10.00-11.00  sec  63.8 MBytes   535 Mbits/sec    0    133 MBytes       
[ 44]  11.00-12.00  sec  58.8 MBytes   493 Mbits/sec    0    199 MBytes       
[ 44]  12.00-13.00  sec  55.0 MBytes   461 Mbits/sec    0    261 MBytes       
[ 44]  13.00-14.00  sec  48.8 MBytes   409 Mbits/sec    0    279 MBytes       
[ 44]  14.00-15.00  sec  45.0 MBytes   378 Mbits/sec    0    397 MBytes       
[ 44]  15.00-16.00  sec  40.0 MBytes   336 Mbits/sec    0    570 MBytes       
[ 44]  16.00-17.00  sec  37.5 MBytes   315 Mbits/sec    0    559 MBytes       
[ 44]  17.00-18.00  sec  35.0 MBytes   294 Mbits/sec    0    694 MBytes       
[ 44]  18.00-19.00  sec  31.2 MBytes   262 Mbits/sec  274    453 MBytes       
[ 44]  19.00-20.00  sec  35.0 MBytes   294 Mbits/sec    0    767 MBytes       
[ 44]  20.00-21.00  sec  32.5 MBytes   273 Mbits/sec  135    771 MBytes       
