Connecting to host 10.1.5.1, port 2347
[ 45] local 10.1.2.3 port 39668 connected to 10.1.5.1 port 2347
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[ 45]  64.00-65.00  sec  20.0 MBytes   168 Mbits/sec    0   49.7 MBytes       
[ 45]  65.00-66.00  sec  20.0 MBytes   168 Mbits/sec    0   54.4 MBytes       
[ 45]  66.00-67.00  sec  21.2 MBytes   178 Mbits/sec    0   64.2 MBytes       
[ 45]  67.00-68.00  sec  20.0 MBytes   168 Mbits/sec    0   63.4 MBytes       
[ 45]  68.00-69.00  sec  21.2 MBytes   178 Mbits/sec    0   66.7 MBytes       
[ 45]  69.00-70.00  sec  20.0 MBytes   168 Mbits/sec    0   66.2 MBytes       
[ 45]  70.00-71.00  sec  20.0 MBytes   168 Mbits/sec    0   73.6 MBytes       
[ 45]  71.00-72.00  sec  20.0 MBytes   168 Mbits/sec    0   80.2 MBytes       
[ 45]  72.00-73.00  sec  20.0 MBytes   168 Mbits/sec    0   98.4 MBytes       
[ 45]  73.00-74.00  sec  20.0 MBytes   168 Mbits/sec    0   85.7 MBytes       
[ 45]  74.00-75.00  sec  21.2 MBytes   178 Mbits/sec    0   94.4 MBytes       
[ 45]  75.00-76.00  sec  20.0 MBytes   168 Mbits/sec    0   97.9 MBytes       
[ 45]  76.00-77.00  sec  21.2 MBytes   178 Mbits/sec    0    108 MBytes       
[ 45]  77.00-78.00  sec  20.0 MBytes   168 Mbits/sec    0    118 MBytes       
[ 45]  78.00-79.00  sec  20.0 MBytes   168 Mbits/sec    0    139 MBytes       
[ 45]  79.00-80.00  sec  21.2 MBytes   178 Mbits/sec    0    124 MBytes       
[ 45]  80.00-81.00  sec  17.5 MBytes   147 Mbits/sec    0    130 MBytes       
[ 45]  81.00-82.00  sec  22.5 MBytes   189 Mbits/sec    0    139 MBytes       
[ 45]  82.00-83.00  sec  20.0 MBytes   168 Mbits/sec    0    162 MBytes       
[ 45]  83.00-84.00  sec  20.0 MBytes   168 Mbits/sec    0    168 MBytes       
[ 45]  84.00-85.00  sec  20.0 MBytes   168 Mbits/sec    0    192 MBytes       
[ 45]  85.00-86.00  sec  21.2 MBytes   178 Mbits/sec    0    187 MBytes       
[ 45]  86.00-87.00  sec  15.0 MBytes   126 Mbits/sec    0    355 MBytes       
[ 45]  87.00-88.00  sec  18.8 MBytes   157 Mbits/sec    0    216 MBytes       
[ 45]  88.00-89.01  sec  5.00 MBytes  41.7 Mbits/sec    0    537 MBytes       
[ 45]  89.01-90.01  sec  1.25 MBytes  10.4 Mbits/sec    0   1008 MBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bandwidth       Retr
[ 45]   0.00-90.01  sec  1.43 GBytes   136 Mbits/sec  27511             sender
[ 45]   0.00-90.01  sec  1.42 GBytes   136 Mbits/sec                  receiver

iperf Done.
