Connecting to host 10.1.5.1, port 2347
[ 45] local 10.1.2.3 port 49776 connected to 10.1.5.1 port 2347
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[ 45]  66.00-67.00  sec  11.2 MBytes  94.4 Mbits/sec    0    191 KBytes       
[ 45]  67.00-68.00  sec  8.75 MBytes  73.4 Mbits/sec    0    189 KBytes       
[ 45]  68.00-69.00  sec  11.2 MBytes  94.4 Mbits/sec    0    218 KBytes       
[ 45]  69.00-70.00  sec  13.8 MBytes   115 Mbits/sec    0    218 KBytes       
[ 45]  70.00-71.00  sec  13.8 MBytes   115 Mbits/sec    0    322 KBytes       
[ 45]  71.00-72.00  sec  12.5 MBytes   105 Mbits/sec    0    260 KBytes       
[ 45]  72.00-73.00  sec  15.0 MBytes   126 Mbits/sec    0    235 KBytes       
[ 45]  73.00-74.00  sec  11.2 MBytes  94.4 Mbits/sec    0    212 KBytes       
[ 45]  74.00-75.00  sec  11.2 MBytes  94.4 Mbits/sec    0    204 KBytes       
[ 45]  75.00-76.00  sec  10.0 MBytes  83.9 Mbits/sec    0    164 KBytes       
[ 45]  76.00-77.00  sec  10.0 MBytes  83.9 Mbits/sec    0    181 KBytes       
[ 45]  77.00-78.00  sec  11.2 MBytes  94.4 Mbits/sec    0    221 KBytes       
[ 45]  78.00-79.00  sec  11.2 MBytes  94.4 Mbits/sec    0    187 KBytes       
[ 45]  79.00-80.00  sec  10.0 MBytes  83.9 Mbits/sec    0    184 KBytes       
[ 45]  80.00-81.00  sec  10.0 MBytes  83.9 Mbits/sec    0    407 KBytes       
[ 45]  81.00-82.00  sec  12.5 MBytes   105 Mbits/sec    0    280 KBytes       
[ 45]  82.00-83.00  sec  15.0 MBytes   126 Mbits/sec    0    252 KBytes       
[ 45]  83.00-84.00  sec  13.8 MBytes   115 Mbits/sec    0    223 KBytes       
[ 45]  84.00-85.00  sec  13.8 MBytes   115 Mbits/sec    0    243 KBytes       
[ 45]  85.00-86.00  sec  12.5 MBytes   105 Mbits/sec    0    215 KBytes       
[ 45]  86.00-87.00  sec  12.5 MBytes   105 Mbits/sec    0    246 KBytes       
[ 45]  87.00-88.00  sec  12.5 MBytes   105 Mbits/sec    0    206 KBytes       
[ 45]  88.00-89.00  sec  25.0 MBytes   210 Mbits/sec    0    467 KBytes       
[ 45]  89.00-90.00  sec  31.2 MBytes   262 Mbits/sec    0    979 KBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bandwidth       Retr
[ 45]   0.00-90.00  sec  1.22 GBytes   117 Mbits/sec    0             sender
[ 45]   0.00-90.00  sec  1.22 GBytes   116 Mbits/sec                  receiver

iperf Done.
