Connecting to host 10.1.5.1, port 2345
[ 45] local 10.1.2.1 port 56060 connected to 10.1.5.1 port 2345
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[ 45]  64.00-65.00  sec  20.0 MBytes   168 Mbits/sec    0   2.85 MBytes       
[ 45]  65.00-66.00  sec  20.0 MBytes   168 Mbits/sec    0   2.95 MBytes       
[ 45]  66.00-67.00  sec  21.2 MBytes   178 Mbits/sec    0   3.02 MBytes       
[ 45]  67.00-68.00  sec  15.0 MBytes   126 Mbits/sec    0   3.07 MBytes       
[ 45]  68.00-69.00  sec  18.8 MBytes   157 Mbits/sec   45   2.22 MBytes       
[ 45]  69.00-70.00  sec  20.0 MBytes   168 Mbits/sec    0   2.34 MBytes       
[ 45]  70.00-71.00  sec  8.75 MBytes  73.4 Mbits/sec    0   2.41 MBytes       
[ 45]  71.00-72.00  sec  6.25 MBytes  52.4 Mbits/sec  1247    803 KBytes       
[ 45]  72.00-73.00  sec  26.2 MBytes   220 Mbits/sec   84    899 KBytes       
[ 45]  73.00-74.00  sec  27.5 MBytes   231 Mbits/sec    0    956 KBytes       
[ 45]  74.00-75.00  sec  33.8 MBytes   283 Mbits/sec    0    994 KBytes       
[ 45]  75.00-76.00  sec  32.5 MBytes   273 Mbits/sec    0   1017 KBytes       
[ 45]  76.00-77.00  sec  32.5 MBytes   273 Mbits/sec    0   1.01 MBytes       
[ 45]  77.00-78.00  sec  28.8 MBytes   241 Mbits/sec    0   1.01 MBytes       
[ 45]  78.00-79.00  sec  30.0 MBytes   252 Mbits/sec    0   1.01 MBytes       
[ 45]  79.00-80.00  sec  27.5 MBytes   231 Mbits/sec    0   1.01 MBytes       
[ 45]  80.00-81.00  sec  23.8 MBytes   199 Mbits/sec    0   1.02 MBytes       
[ 45]  81.00-82.00  sec  30.0 MBytes   252 Mbits/sec    0   1.05 MBytes       
[ 45]  82.00-83.00  sec  25.0 MBytes   210 Mbits/sec    0   1.06 MBytes       
[ 45]  83.00-84.00  sec  28.8 MBytes   241 Mbits/sec    0   1.08 MBytes       
[ 45]  84.00-85.00  sec  27.5 MBytes   231 Mbits/sec    0   1.12 MBytes       
[ 45]  85.00-86.00  sec  25.0 MBytes   210 Mbits/sec    0   1.18 MBytes       
[ 45]  86.00-87.00  sec  25.0 MBytes   210 Mbits/sec    0   1.27 MBytes       
[ 45]  87.00-88.00  sec  22.5 MBytes   189 Mbits/sec    0   1.38 MBytes       
[ 45]  88.00-89.00  sec  8.75 MBytes  73.4 Mbits/sec    0   1.47 MBytes       
[ 45]  89.00-90.00  sec  31.2 MBytes   262 Mbits/sec  364   1.18 MBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bandwidth       Retr
[ 45]   0.00-90.00  sec  2.05 GBytes   196 Mbits/sec  3692             sender
[ 45]   0.00-90.00  sec  2.04 GBytes   195 Mbits/sec                  receiver

iperf Done.
