0,6.97
1,6.26
2,19.8
3,33.4
4,21.0
5,41.9
6,42.0
7,83.9
8,52.4
9,52.4
10,73.4
11,83.9
12,83.9
13,115
14,73.4
15,126
16,115
17,93.1
18,117
19,94.4
20,115
21,105
22,136
23,83.9
24,126
25,115
26,115
27,105
28,126
29,115
30,126
31,115
32,94.4
33,105
34,147
35,104
36,127
37,147
38,157
39,115
40,136
41,125
42,116
43,136
44,136
45,126
46,136
47,126
48,147
49,147
50,136
51,157
52,136
53,145
54,159
55,147
56,157
57,147
58,147
59,135
60,169
61,168
62,147
63,157
64,157
65,168
66,168
67,157
68,157
69,136
70,168
71,156
72,138
73,157
74,168
75,157
76,168
77,136
78,158
79,147
80,178
81,168
82,157
83,155
84,160
85,157
86,157
87,147
88,273
